timestamp,userId,movieId,title,rating
2024-06-04 12:51:41,472,2431,Patch Adams (1998),4.0
2023-06-25 20:59:19,308,551,"Nightmare Before Christmas, The (1993)",3.0
2024-07-06 17:14:30,321,24,Powder (1995),4.0
2025-03-09 02:16:00,304,1377,Batman Returns (1992),2.0
2023-11-20 21:42:40,386,590,Dances with Wolves (1990),2.0
2023-10-23 02:33:42,45,3360,Hoosiers (a.k.a. Best Shot) (1986),3.0
2025-02-20 10:07:26,151,9,Sudden Death (1995),4.0
2024-08-25 18:54:14,315,1028,Mary Poppins (1964),3.0
2024-05-08 11:12:12,253,4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",5.0
2023-09-02 16:12:55,377,2793,"American Werewolf in Paris, An (1997)",3.5
2025-02-09 16:56:11,204,76251,Kick-Ass (2010),4.5
2023-12-19 01:31:40,320,68358,Star Trek (2009),4.0
2023-12-20 01:33:12,260,7815,True Stories (1986),5.0
2023-05-19 23:09:32,247,1196,Star Wars: Episode V - The Empire Strikes Back (1980),4.5
2024-06-11 12:22:53,133,318,"Shawshank Redemption, The (1994)",4.0
2024-08-02 19:02:33,293,420,Beverly Hills Cop III (1994),2.0
2023-09-08 03:05:35,495,80489,"Town, The (2010)",5.0
2024-04-26 16:33:28,34,45499,X-Men: The Last Stand (2006),5.0
2024-03-18 17:01:05,238,1287,Ben-Hur (1959),3.0
2025-03-05 17:28:11,257,5952,"Lord of the Rings: The Two Towers, The (2002)",3.0
2023-04-26 01:37:21,53,1298,Pink Floyd: The Wall (1982),5.0
2023-04-18 01:57:44,144,1059,William Shakespeare's Romeo + Juliet (1996),4.5
2024-08-25 02:50:08,554,588,Aladdin (1992),5.0
2023-08-21 12:18:38,418,7361,Eternal Sunshine of the Spotless Mind (2004),5.0
2023-12-30 20:35:56,72,344,Ace Ventura: Pet Detective (1994),3.5
2023-05-16 03:42:15,84,371,"Paper, The (1994)",3.0
2024-01-06 11:39:50,365,106916,American Hustle (2013),2.0
2024-07-19 03:51:33,330,5418,"Bourne Identity, The (2002)",2.0
2023-09-24 13:12:17,295,4351,Point Break (1991),2.5
2024-05-06 14:53:44,428,3247,Sister Act (1992),1.0
2023-05-05 20:15:19,341,5459,Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002),3.0
2023-10-12 20:29:27,505,2083,"Muppet Christmas Carol, The (1992)",5.0
2024-06-22 17:45:21,367,2396,Shakespeare in Love (1998),4.0
2024-08-06 17:15:04,418,356,Forrest Gump (1994),4.0
2023-12-01 22:35:10,184,114935,Predestination (2014),4.5
2025-03-25 15:09:00,292,3827,Space Cowboys (2000),3.0
2024-09-09 23:40:43,330,26528,Anne of Green Gables (1985),4.0
2023-12-18 04:32:24,227,1923,There's Something About Mary (1998),4.5
2024-04-21 15:35:44,117,224,Don Juan DeMarco (1995),4.0
